date,side,price,ticker,profile,pnl
2012-10-10,SELL,42.75,,,-1409.532928457204
2012-10-15,BUY,43.75,,,
2012-10-24,SELL,42.8333,,,-2525.1693814098126
2012-11-23,BUY,44.4167,,,
2012-11-26,SELL,44.1667,,,-664.1077342625697
2012-11-27,BUY,44.5833,,,
2012-12-10,SELL,44.5,,,-219.21298249963803
2012-12-27,BUY,45.6667,,,
2013-01-11,SELL,45.5,,,-427.4814273857282
2013-02-07,BUY,46.8333,,,
2013-02-28,SELL,50.5833,,,9342.638720007973
2013-03-14,BUY,53.75,,,
2013-04-05,SELL,53.5833,,,-390.8432152683898
2013-04-26,BUY,57.0833,,,
2013-05-14,SELL,55.5,,,-3484.5810793574765
2013-05-31,BUY,58.0833,,,
2013-06-03,SELL,55.75,,,-4906.814542502344
2013-07-15,BUY,56.75,,,
2013-07-17,SELL,57.1667,,,860.8580976498665
2013-07-19,BUY,58.0,,,
2013-08-15,SELL,62.8333,,,9841.628112739812
2013-09-06,BUY,65.0,,,
2013-10-02,SELL,67.3333,,,4592.723412603184
2013-10-15,BUY,63.3333,,,
2013-10-30,SELL,64.1667,,,1744.0181039526283
2013-12-05,BUY,68.0833,,,
2013-12-13,SELL,65.8333,,,-4437.6098588281775
2014-01-31,BUY,66.7667,,,
2014-03-07,SELL,69.3,,,4926.505099666289
2014-04-23,BUY,72.45,,,
2014-05-20,SELL,73.0833,,,1178.0308027784636
2014-06-23,BUY,74.9667,,,
2014-06-24,SELL,73.5833,,,-2508.6766359821627
2014-12-22,BUY,69.8167,,,
2014-12-23,SELL,69.9,,,159.20688995452406
2015-01-09,BUY,70.0,,,
2015-01-14,SELL,67.85,,,-4103.311174209108
2015-01-20,BUY,70.7667,,,
2015-03-03,SELL,77.9333,,,13113.845604064978
2015-04-02,BUY,82.2667,,,
2015-05-05,SELL,88.6667,,,11094.196777635925
2015-05-29,BUY,92.0833,,,
2015-06-04,SELL,89.0,,,-5146.4924979309035
2015-06-22,BUY,85.8333,,,
2015-06-25,SELL,84.5833,,,-2163.4146723140707
2015-07-20,BUY,95.9167,,,
2015-08-07,SELL,97.25,,,2034.923248014836
2015-09-03,BUY,90.6667,,,
2015-09-24,SELL,87.0833,,,-5866.205120787684
2015-10-23,BUY,99.0,,,
2015-11-23,SELL,107.0833,,,11639.929132378691
2015-11-30,BUY,109.1667,,,
2015-12-04,SELL,106.75,,,-3413.6260589323756
2016-03-15,BUY,105.75,,,
2016-04-05,SELL,105.6667,,,-118.77518407695501
2016-04-27,BUY,101.5,,,
2016-05-18,SELL,103.1667,,,2474.060117631323
2016-07-13,BUY,105.3333,,,
2016-08-01,SELL,104.75,,,-848.0444922860487
2016-08-10,BUY,106.9167,,,
2016-08-22,SELL,102.1667,,,-6765.949579061509
2017-01-20,BUY,101.5833,,,
2017-01-26,SELL,97.5833,,,-5730.363706045164
2017-04-20,BUY,104.75,,,
2017-05-10,SELL,105.9167,,,1557.0510906972816
2017-05-31,BUY,108.5,,,
2017-06-21,SELL,108.5,,,0.0
2017-10-03,BUY,103.4167,,,
2017-11-16,SELL,113.1667,,,13326.682365467412
2017-11-21,BUY,115.5,,,
2017-12-08,SELL,113.4167,,,-2790.010979874742
2017-12-18,BUY,117.0833,,,
2018-01-03,SELL,115.8333,,,-1621.609066315598
2018-01-04,BUY,117.6667,,,
2018-01-10,SELL,119.0833,,,1809.1027916296525
2018-01-12,BUY,122.4167,,,
2018-01-15,SELL,119.25,,,-3933.9888219027175
2018-01-19,BUY,124.1667,,,
2018-01-25,SELL,121.9167,,,-2684.4910870800613
2018-02-13,BUY,125.75,,,
